song,singer,genre,album,userRating
Kuch Toh Hua Hai,Ankit Tiwari,Romantic,Singham Returns,9.3/10
Rabba Main Toh Mar Gaya Oye,Shahid Mallya,Romantic,Mausam,9.6/10
Theher Ja (Remix),Armaan Malik,Romantic,October,9.4/10
Jiya Maine Jiya,"Alka Yagnik, Udit Narayan",Romantic,Khushi,9.2/10
Kuch To Hua Hai,"Alka Yagnik, Shaan",Dance,Kal Ho Naa Ho,9.6/10
Angelina,Sonu Nigam,Romantic,Baa Baaa Black Sheep,8.2/10
Dhoom Again,"Dominique Crezo, Vishal Dadlani",Dance,Dhoom 2,9.5/10
Dhinka Chika (Remix),"Amrita Kak, Mika Singh",Dance,Ready,8.5/10
Tu Milade,Ankit Tiwari,Dance,All is Well,9.3/10
Thoda Thoda Pyar,Sunidhi Chauhan,Dance,Love Aj Kal,9.2/10
O Mere Raja,"Asha Bhosle, Kishore Kumar",Dance,Johny Mera Naam,8.5/10
Gela Gela Gela,"Adnan Sami, Sunidhi Chauhan",Dance,Aitraaz,9.3/10
Ik Tu Hi Tu Hi,Hans Raj Hans,Devotional,Mausam,9.5/10
Sultan (Mashup),Multiple,Dance,Sultan,8.7/10
Kitni Hasrat Hain Humein,"Kumar Sanu, Sadhana Sargam",Romantic,Sainik,8.8/10
Aa Jaana Aa Jaana,"Alka Yagnik, Kumar Sanu",Romantic,Coolie No. 1,8.6/10
Har Dil Jo Pyar Karega,"Lata Mangeshkar, Mahendra Kapoor, Mukesh",Dance,Sangam,8.7/10
Har Dil Jo Pyar Karega,"Lata Mangeshkar, Mahendra Kapoor, Mukesh",Dance,Sangam,8.7/10
Morey Piya,Udit Narayan,Romantic,Devdas,9.1/10
Kate Nahin Kat Te,"Alisha Chinai, Kishore Kumar",Romantic,Mr. India,8.9/10
Mujhse Huee Bas Yeh,Alka Yagnik,Sad,Ishq Vishk,9.6/10
Nakhriley,"Ali Zafar, Gulzar, Mahalakshmi Iyer, Shankar Mahadevan",Dance,Kill Dil,9.3/10
Tandoori Nights,"Himesh Reshammiya, Sunidhi Chauhan",Dance,Karzzz,8.8/10
Kya Raaz Hai,"Shreya Ghoshal, Zubeen Garg",Dance,Raaz 3,9.0/10
Lucky Boy,"Hard Kaur, Raja Hassan, Sunidhi Chauhan",Dance,Bachna Ae Haseeno,9.4/10
Aye Manya,"Adnan Sami, Shaan",Dance,Shootout at Wadala,9.2/10
Ladki Hai Ya Shola,"Kishore Kumar, Lata Mangeshkar",Dance,Silsila,8.5/10
Yeh Mera Dil Yaar Ka Diwana,Asha Bhosle,Dance,Don,8.8/10
Babuji Zara Dheere Chalo,Sonu Kakkar,Dance,Dum,9.2/10
Aankhon Aankhon (Remix),Yo Yo Honey Singh,Dance,Bhaag Johnny,9.2/10
Ek Duje Ke Vaaste,"Hariharan, Lata Mangeshkar",Romantic,Dil Toh Pagal Hai,9.1/10
Hey Ya I See You Walking,"Loy Mendonsa, Shankar Mahadevan",Dance,Karthik Calling Karthik,9.5/10
More Haji Piya,Amjad Farid Sabri,Devotional,Halla Bol,8.9/10
Tere Mere Beech Mein,"Mohit Chauhan, Sunidhi Chauhan",Romantic,Shuddh Desi Romance,8.6/10
Ye Ladki Nahin Banaras Ka Paan,"Bela Sulakhe, Sonu Nigam",Dance,Khullam Khulla Pyaar Karen,8.4/10
Kai Baar Yun Bhi Dekha Hai,Mukesh,Romantic,Rajnigandha,9.2/10
Dam Bhar Jo Udhar Munh Phere,"Lata Mangeshkar, Mukesh",Dance,Awaara,8.6/10
Bade Armanon Se,"Lata Mangeshkar, Mukesh",Dance,Malhar,8.6/10
Chal Akela Chal Akela,Mukesh,Dance,Sambandh,8.7/10
De De Pyaar De,Kishore Kumar,Dance,Sharaabi,8.8/10
Behti Hawa Sa Tha Woh,"Shaan, Shantanu Moitra",Sad,3 Idiots,9.4/10
Mor Bani Thanghat Kare,"Aditi Paul, Osman Mir",Dance,Ram-Leela,9.3/10
Gore Gore Se,Alka Yagnik,Dance,Hum Tum,9.4/10
Sanam Teri Kasam (Reprise),"Mohammed Irfan, Palak Muchhal",Sad,Sanam Teri Kasam,9.4/10
School Ke Din,Sonu Nigam,Dance,Always Kabhi Kabhi,9.6/10
Yeh Mera Prem Patra,Mohammed Rafi,Romantic,Sangam,8.7/10
Jiska Koi Nahin,Manna Dey,Motivational,Laawaris,8.8/10
Chalo Ek Bar Phir Se,Mahendra Kapoor,Sad,Gumrah,9.5/10
Kab Ke Bichhde Hue,"Asha Bhosle, Kishore Kumar",Romantic,Laawaris,8.4/10
Aaj Ibaadat,"Altamash Faridi, Javed Bashir, Shadab Faridi, Shashi Suman, Shreyas Puranik",Devotional,Bajirao Mastani,9.5/10
Peepal Ke Patwa,"Jaspinder Narula, Sonu Nigam",Dance,Sooryavansham,7.9/10
Meri Bindiya Teri Nindiya,Lata Mangeshkar,Romantic,Lamhe,9.0/10
Ranga Re,Shreya Ghoshal,Dance,Tutak Tutak Tutiya,9.2/10
Kaun Kisi Ko Baandh Saka,Mohammed Rafi,Dance,Kaalia,8.8/10
Dekhiye Aji Jaaneman,"Alka Yagnik, Udit Narayan",Romantic,Kya Kehna,8.8/10
Jis Desh Mein Ganga Rehta Hai,Abhijeet,Dance,Jis Desh Mein Rehta Hai,8.3/10
Kambal Ke Neeche,"Aaman Trikha, Aishwarya Majmudar, Neeti Mohan, Sanchita Bhattachayra",Dance,Kaanchi,8.3/10
Maine Tere Liye,Mukesh,Dance,Anand,9.4/10
Teri Zulfon Se Judai To,Mohammed Rafi,Romantic,Jab Pyar Kisi Se Hota Hai,8.7/10
Humne Ghar Choda Hai,"Sadhana Sargam, Udit Narayan",Romantic,Dil,8.3/10
Teri Bindiya Re,"Lata Mangeshkar, Mohammed Rafi",Romantic,Abhimaan,9.0/10
Barbaad Raat,"Sanam Puri, Shalmali Kholgade",Dance,Humshakals,9.0/10
Ghoonghat Ki Aadh Se,"Alka Yagnik, Kumar Sanu",Romantic,Hum Hain Rahi Pyaar Ke,8.9/10
Chaska,Krishna Beura,Dance,Badmaash Company,9.3/10
Megha Re Megha Re,"Ila Arun, Lata Mangeshkar",Dance,Lamhe,8.6/10
Move Your Body Now,"Akriti Kakar, Hard Kaur, Shaan, Suhail",Dance,Kismat Konnection,9.6/10
Humen Kash Tumse Mohabbat,Lata Mangeshkar,Sad,Mughal-E-Azam,8.5/10
Manmarziyan,"Amit Trivedi, Shilpa Rao",Romantic,Lootera,9.6/10
Bismillah,Anupam Amod,Dance,Once Upon,8.8/10
Mohabbat Ke,"Himesh Reshammiya, Tulsi Kumar",Dance,Aksar,9.2/10
Fatal Attraction,"Natalie Di Luccio, Salim Merchant",Dance,Ladies Vs Ricky Bahl,9.5/10
Khol De Baahein,Monali Thakur,Romantic,Meri Pyaari Bindu,9.3/10
Pehla Pehla Pyar,S.P. Balasubrahmanyam,Romantic,Hum Aapke Hain Koun,8.8/10
Bhaage Re Mann,Sunidhi Chauhan,Dance,Chameli,9.5/10
Hai Re Hai Re,"Hema Sardesai, KK",Dance,Khushi,9.3/10
Hum Laye Hain Toofan Se Kashti Nikal Ke,Mohammed Rafi,Patriotic,Jagriti,9.1/10
Meri Aawargi,Himesh Reshammiya,Dance,Good Boy Bad Boy,9.2/10
Ghum Shuda,Sonu Nigam,Dance,Chalte Chalte,9.5/10
Ghar,"Mohit Chauhan, Nikhita Gandhi",Sad,Jab Harry Met Sejal,9.7/10
Tera Rastaa Chodun Na,"Amitabh Bhattacharya, Anusha Mani",Romantic,Chennai Express,9.3/10
Neela Aasman So Gaya,Amitabh Bachchan,Romantic,Silsila,8.8/10
Mera Yaar Mila De,A.R. Rahman,Sad,Saathiya,9.2/10
Sakhiya,Tulsi Kumar,Dance,Bhool Bhulaiyaa,9.0/10
Dil Tadap Tadap Ke Kah Raha,"Lata Mangeshkar, Mukesh",Romantic,Madhumati,9.2/10
Kaise Piya Se,Lata Mangeshkar,Romantic,Bewafaa,8.7/10
Aaj Din Chadheya,Rahat Fateh Ali Khan,Romantic,Love Aaj Kal,9.4/10
Jai Ho,Wajid,Dance,Jai Ho,9.0/10
Kiss Me Baby – Title Song,Adnan Sami,Dance,Garam Masala,9.4/10
Kehkasha Tu Meri,Shekhar Ravjiani,Motivational,Akira,9.5/10
Raat Ke Dhai Baje,"Earl, Kunal Ganjawala, Rekha Bhardwaj, Suresh Wadkar",Dance,Kaminey,9.5/10
Hairat,Lucky Ali,Dance,Anjaana Anjaani,9.6/10
Hairat,Lucky Ali,Dance,Anjaana Anjaani,9.6/10
Dukki Tikki,Mika Singh,Dance,Raja Natwarlal,9.4/10
Ajib Dastan Hai Yeh,Lata Mangeshkar,Dance,Dil Apna Aur Preet Parai,9.4/10
Shikayatein,Amit Trivedi,Sad,Lootera,9.5/10
Genda Phool,"Rajat Dholakia, Shraddha Pandit, Sujata Majumdar, V.N. Mahathi",Dance,Delhi-6,9.4/10
Laagi Laagi,"Himesh Reshammiya, Sunidhi Chauhan",Romantic,Aksar,9.1/10
Rafu,Ronkini Gupta,Dance,Tumhari Sulu,9.1/10
Saturday Saturday (Remix),"Akriti Kakar, Badshah, Indeep Bakshi, Toshi Sabri",Dance,Humpty Sharma Ki Dulhania,9.0/10
Saajna (Unplugged),Falak Shabir,Romantic,I Me Aur Mein,9.6/10
Jannatein Kahan,K.K.,Dance,Jannat 2,9.7/10
Meri Zindagi Mein Ajnabee,"Kumar Sanu, Sunidhi Chauhan",Romantic,Ajnabee,9.0/10
Mere Watan Mein Maine,"Alka Yagnik, Suresh Wadkar",Dance,Khuda Gawah,8.3/10
Namak,"Rakesh Pandit, Rekha Bhardwaj",Dance,Asoka,9.2/10
Tinka Tinka,Alisha Chinai,Romantic,Karam,9.5/10
Main Chali,"Naresh Iyer, Shreya Ghoshal",Dance,Force,9.5/10
Suhana Safar Aur Yeh Mausam,Mukesh,Dance,Madhumati,9.3/10
Pal Pal… Har Pal,"Shreya Ghoshal, Sonu Nigam",Romantic,Lage Raho Munna Bhai,9.3/10
Khoya Khoya Chand Khula Aasman,Mohammed Rafi,Romantic,Kala Bazar,9.5/10
Ajab Leher Hai Meri,"Neeraj Shridhar, Rhys D'souza, Vishal Dadlani",Dance,Break Up Ke Baad,9.4/10
Aaja Aaja …Yaad Sataye,"Kavita Krishnamurthy, Udit Narayan",Romantic,Raja Babu,8.4/10
Jalebi Bai,Sunidhi Chauhan,Dance,Double Dhammal,9.2/10
Desi Look (Remix),Kanika Kapoor,Dance,Ek Paheli Leela,9.5/10
Meri Shaadi Karvado,"Sapna Awasthi Singh, Udit Narayan",Dance,Jis Desh Mein Ganga Rehta Hai,8.8/10
Nazrein Milaana Nazrein Churaana,"Anupama Deshpande, Benny Dayal, Darshana, Naresh Iyer, Satish Chakravarthy, Swetha Bhargavee, Tanvi",Dance,Jaane Tu Ya Jaane Na,9.6/10
Kabhi Main Kahon Kabhi Tu Kahe,"Hariharan, Lata Mangeshkar",Romantic,Lamhe,9.0/10
Mangalayam,"K.K., Kunal, Shaan, Sreenivas",Dance,Saathiya,9.6/10
Naina Mile,"A.R. Rahman, Suzanne D'Mello",Dance,Robot,9.0/10
Phir Wahi,Arijit Singh,Sad,Jagga Jasoos,9.5/10
Kahin Deep Jale Kahin Dil,Lata Mangeshkar,Sad,Bees Saal Baad,9.1/10
I Feel Good,"Shilpa Rao, Vishal Dadlani",DanceRomantic,Anjaana Anjaani,9.5/10
Taiyabali Pyar Ka Dushman,Javed Ali,Dance,Once Upon A Time In Mumbaai Dobara,8.8/10
Kahe Paise Pe,Kishore Kumar,Dance,Laawaris,8.3/10
Muskaanein Jhooti Hai,Suman Sridhar,Romantic,Talaash,9.5/10
Main Naa Bhoolunga I,"Lata Mangeshkar, Mukesh",Romantic,Roti Kapada Aur Makaan,8.4/10
Allah Hafiz,K.K.,Dance,Bhool Bhulaiyaa,9.5/10
20-20,"Anu Malik, Mamta Sharma, Shadaab",Dance,Welcome Back,7.5/10
Des Mere Des,"A.R. Rahman, Sukhwinder Singh",Patriotic,The Legend Of Bhagat Singh,9.7/10
Besharmi Ki Height (Remix),"Benny Dayal, Shalmali Kholgade",Dance,Main Tera Hero,9.3/10
Moh Moh Ke Dhaage (Female),Monali Thakur,Romance,Dum Laga Ke Haisha,9.2/10
Kharaa Kharaa,Sonu Kakkar,Romance,Fever,9.5/10
De Di Azadi Hamen Bina,Asha Bhosle,Patriotic,Jagriti,8.7/10
Katiya Karun,Harshdeep Kaur,Dance,Rockstar,9.3/10
Lakhon Hain Nigahon Mein,Mohammed Rafi,Dance,Phir Wohi Dil Laya Hoon,9.2/10
Jaadu Tone Waaliyan,Shabab Sabri,Dance,Daawat e Ishq,9.0/10
Junooniyat,"Falak Shabir, Meet Bros",Romantic,Sanam Re,9.7/10
Tamma Tamma Loge,"Anuradha Paudwal, Bappi Lahiri",Dance,Thanedaar,8.7/10
Chhote Chhote Peg (Remix),"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",Dance,Sonu Ke Titu Ki Sweety,9.2/10
Mehfil Mein Bar Bar,"Alka Yagnik, Kumar Sanu",Dance,Soldier,9.2/10
O Soniye Dil Jaaniye,"Alka Yagnik, Kumar Sanu, Sonu Nigam",Romantic,Kya Kehna,8.8/10
Dil Mera Churaya Kyun,Kumar Sanu,Sad,Akele Hum Akele Tum,9.3/10
Ooee Baba,"Abhijeet, Alka Yagnik, Sapna Mukherjee",Dance,Judaai,8.7/10
Mera Dil Bhi Kitna Pagal Hai,"Alka Yagnik, Kumar Sanu, S.P. Balasubrahmanyam",Romantic,Saajan,9.0/10
Fitoori,"Aishwarya Bhandari, Ganesh Chandanshive, Vaishali Bhaisne",Dance,Bajirao Mastani,9.4/10
Small Town Girl,"Himani Kapoor, Shekhar Ravjiani, Sukhwinder Singh",Dance,Bachna Ae Haseeno,9.3/10
Do Pal,"Lata Mangeshkar, Sonu Nigam",RomanticSad,Veer Zaara,9.4/10
Har Ek Friend Kamina Hota Hai,Sonu Nigam,Dance,Chashme Baddoor,9.6/10
Jab Se Tumko Dekha,"Asha Bhosle, Kishore Kumar",Romantic,Kaalia,8.8/10
Lamha Lamha,Abhijeet,Romance,Gangster,9.4/10
Raat Baaqi Baat Baaqi,"Asha Bhosle, Bappi Lahiri, Basavalingaiah Hiremath, Shashi Kapoor",Dance,Namak Halaal,9.0/10
Raat Baaqi Baat Baaqi,"Asha Bhosle, Bappi Lahiri, Basavalingaiah Hiremath, Shashi Kapoor",Dance,Namak Halaal,9.0/10
Aankhon Mein Neendein,"Rahat Fateh Ali Khan, Shankar Mahadevan, Shreya Ghoshal",Romantic,We Are Family,9.6/10
Tumsa Nahin Dekha,Mohammed Rafi,Romantic,Tumsa Nahin Dekha,9.4/10
Hey Ooi Amma Ooi Amma,Poornima,Dance,Raja Babu,8.6/10
Jaage Hain,"A.R. Rahman, K. S. Chithra",Sad,Guru,9.5/10
Koi Jab Tumhara Hriday Tod De,Mukesh,Sad,Purab Aur Pachim,9.1/10
Mashallah (Remix),"Shreya Ghoshal, Wajid",Dance,Ek Tha Tiger,8.9/10
Mere Khwabon Mein Jo Aaye,Alka Yagnik,Dance,Soldier,8.6/10
Chali Kahani,"Haricharan, Haripriya, Sukhwinder Singh",Dance,Tamasha,9.5/10
Saddi Dilli,Millind Gaba,Dance,Dilliwaali Zaalim Girlfriend,9.6/10
Dum Dum,"Romy, Vivek Hariharan",Romantic,Phillauri,9.5/10
Kya Tujhe Ab Ye Dil Bataye,Falak Shabir,Romantic,Sanam Re,9.7/10
Rabba Meray Haal Da Mehram Tu,"Amit Mishra, Sumeet Anand",Devotional,Guest In London,9.3/10
Woh Lamhe Woh Baatein,Atif Aslam,Sad,Zeher,9.4/10
Chot Dil Pe Lagi,"Alisha Chinai, Kumar Sanu",Romantic,Ishq Vishk,9.3/10
Lagi Aaj Sawan Ki,"Anupama Deshpande, Suresh Wadkar",Romantic,Chandni,8.7/10
Pyaar Ki Ek Kahani,"Shreya Ghosal, Sonu Nigam",DanceRomantic,Krrish,9.3/10
Tip Tip Barsa Pani,"Alka Yagnik, Udit Narayan",Dance,Mohra,8.3/10
Tujhko Mera Pyar Pukare,"Asha Bhosle, Mahendra Kapoor",Romantic,Gumrah,8.4/10
Talli,"Anmol Malik, Hard Kaur, Mika Singh",Dance,Ugly Aur Pagli,9.2/10
Tonight,Suman Sridhar,Romantic,Love Ka The End,9.2/10
Ayaashi,K.K.,Dance,Badmaash Company,9.4/10
Ishqe Di Lat,Ankit Tiwari,Romantic,Junooniyat,9.4/10
Saawan Ke Jhoolon Ne,Mohammad Aziz,Dance,Nigahen,8.1/10
Neela Dupatta,"Abhijeet, Alka Yagnik",Dance,Hameshaa,8.7/10
Aap Yun Hi Agar Humse Milte Rahe,"Asha Bhosle, Mohammed Rafi",Romantic,Ek Musafir Ek Hasina,9.1/10
Dil Jo Na Keh Saka,"Shail Hada, Shreya Ghoshal",Sad,Dil Jo Na Keh Saka,8.6/10
Aankhon Ki Gustakhiyan Maaf Ho,"Karsan Sangathia, Kavita Krishnamurthy",Romantic,Hum Dil De Chuke Sanam,8.3/10
Meher Hai Rab Di,"Khushhboo Grewal, Mika Singh",Dance,Welcome To New York,9.0/10
Tere Ghar Ke Samne,"Lata Mangeshkar, Mohammed Rafi",Dance,Tere Ghar Ke Samne,8.1/10
Inteha Ho Gayi Intezaar Ki,"Asha Bhosle, Bappi Lahiri",Sad,Sharaabi,9.0/10
Dil Ka Koi Tukda,"Hariharan, Kavita Krishnamurthy",Sad,Kya Kehna,9.3/10
Dhadkane Saansein Jawani,"Anuradha Paudwal, Pankaj Udhas",Dance,Beta,7.8/10
Dil Tera Diwana,"Lata Mangeshkar, Mohammed Rafi",Romantic,Dil Tera Deewana,9.0/10
Ek Lo Ek Muft,Bappi Lahiri,Dance,Guru,9.1/10
Maine Pyar Kiya,S.P. Balasubrahmanyam,Dance,Maine Pyar Kiya,8.6/10
Chaar Dina Ki,"Imran Khan, Pankaj Kapur, Prem Dehati",Dance,Matru Ki Bijlee Ka Mandola,8.8/10
Piya Tu Ab To Aaja,Asha Bhosle,Dance,Caravaan,9.1/10
Tu Meri (Remix),Vishal Dadlani,Dance,Bang bang,9.3/10
Kitne Bhi Tu Karle Sitam,Asha Bhosle,Sad,Sanam Teri Kasam,8.9/10
Jab Mila Tu,Vishal Dadlani,Romantic,I Hate Luv Storys,9.7/10
O Mere Majhi Mere Sajan Hai,S. D. Burman,Sad,Bandini,9.2/10
Churao Na Dil,"Kavita Krishnamurthy, Udit Narayan",Romantic,Deewane,9.1/10
Mujhe Raat Din Bas,Sonu Nigam,Romantic,Sangharsh,9.3/10
Main Nai Jaana Pardes,Shafqat Amanat Ali,Sad,Tevar,9.5/10
Chikini Chameli (Remix),Shreya Ghoshal,Dance,Agneepath,9.0/10
Jane Na Nazar Pehchane Jigar,"Lata Mangeshkar, Mukesh",Romantic,Aah,9.0/10
Tu Mohabbat Hai,"Atif Aslam, Monali Thakur",Romantic,Tere Naal Love Ho Gaya,9.6/10
O Re Khuda,"Adnan Sami, Javed Basheer",Romantic,Rush,9.4/10
Sar Se Sarke,"Kishore Kumar, Lata Mangeshkar",Romantic,Silsila,8.7/10
Humko Tumse Ho Gaya Hai Pyar,"Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Mukesh",Dance,Amar Akbar Anthony,8.7/10
Dhik Ta Na Na – Duet,"Poornima, Udit Narayan",Romantic,Laadla,8.9/10
Jaane Kahan Mera Jigar Gaya Ji,"Geeta Dutt, Mohammed Rafi",Romantic,Mr. and Mrs. 55,9.5/10
Chaar Shanivaar,"Armaan Malik, Badshah, Vishal Dadlani",Dance,All is Well,8.9/10
Dancing Jodi,"Labh Janjua, Sunidhi Chauhan",Dance,Rab Ne Bana Di Jodi,9.3/10
Tera Bemar Mera Dil,"Kavita Krishnamurthy, Mohammad Aziz",Dance,Chaalbaaz,8.8/10
Ishq Ki Galee,"Jayesh Gandhi, Rahat Fateh Ali Khan",Sad, HeightsMilenge Milenge,8.8/10
Piya Piya O Piya,"Pinky, Prashant, Preeti",Dance,Har Dil Jo Pyar Karega,9.3/10
Tune Bechain Itna Ziada Kiya,"Anuradha Paudwal, Mohammad Aziz",Romantic,Nagina,7.8/10
Rozaana,Salim Merchant,Romantic,Love Breakups Zindagi,9.6/10
Baawra,"Gulzar, Nihira Joshi Deshpande, Shankar Mahadevan",Sad,Kill Dil,8.9/10
O Humdum Suniyo Re,"K.K., Kunal, Pravin Mani, Shaan",Dance,Saathiya,9.5/10
Hookah Bar (Remix),"Aman Trikha, Himesh Reshammiya, Vineet Singh",Dance,Khiladi 786,9.3/10
Bismil,Sukhwinder Singh,Dance,Haider,9.6/10
Jadugar Ka Jadoo,Suresh Wadkar,Dance,Toofan,8.7/10
Pyar Chahiye Mujhe Jine Ke Liye,,Romantic,Manokaamnaa,9.1/10
Assalaam Vaalekum,Himesh Reshammiya,Dance,Aap Kaa Surroor,8.8/10
Yeh Desh Hai Veer Jawanon Kaa,Mohammed Rafi,Patriotic,Naya Daur,8.7/10
Kismat Se Tum Hum Ko Mile,"Anuradha Paudwal, Sonu Nigam",Sad,Pukar,9.2/10
Hip Hip Huraah,Sonu Kakkar,Dance,Mere Dad Ki Maruti,9.2/10
Ankahee,Amit Trivedi,Romantic,Lootera,9.6/10
Foolishq,"Armaan Malik, Shreya Ghoshal",Romantic,Ki & Ka,9.2/10
Foolishq,"Armaan Malik, Shreya Ghoshal",Romantic,Ki & Ka,9.2/10
Dil Diwana,Sonu Nigam,Dance,Jawani Diwani,9.2/10
Guest In London,"Amit Mishra, Navendu Tripathi",Dance,Guest In London,9.1/10
Love You Till The End,Armaan Malik,DanceRomantic,Jai Ho,9.6/10
Mera Yaar Bana Hai Dulha,Mohammed Rafi,Dance,Chaudhvin Ka Chand,8.5/10
Jab Tak Hai Jaan Mashup,Multiple,Dance,Jab Tak Hai Jaan,9.5/10
Pump It (The Workout Song),"Meet Bros, Yash Narvekar",Dance,Ki & Ka,9.1/10
Pyar Nahin Karna,"Alka Yagnik, Kumar Sanu",Romantic,Kachche Dhaage,8.6/10
Bichdann,Rahat Fateh Ali Khan,Sad,Son of Sardaar,8.8/10
Raghupati Raghav,"Alka Yagnik, Shankar Mahadevan",Dance,Kuch Kuch Hota Hai,9.4/10
Show Me Your Jalwa,"Kailash Kher, Richa Sharma, Salim Merchant",Dance,Aaja Nachle,9.4/10
Fevicol Se (Remix),"Mamta Sharma, Wajid",Dance,Dabangg 2,8.6/10
Kahin Karti Hogi Woh Mera Intezar,Mukesh,Dance,Phir Kab Milogi,8.9/10
Khamakhaa,"Ayushman Khurana, Neeti Mohan",Romance,Bewakoofiaan,9.4/10
Jhoot Nahin Bolna,"Himesh Reshammiya, Shreya Ghoshal",Dance,Aap Kaa Surroor,8.7/10
Ik Junoon,Vishal Dadlani,Dance,Zindagi Na Milegi Dobara,9.5/10
Aafaton Ke Parinde,"Divya Kumar, Suraj Jagan",Dance,Ishaqzaade,9.4/10
Dilrubaon Ke Jalwe,"Amit Kumar, Monali Thakur",Dance,Dulha Mil Gaya,9.4/10
Pak Chik Pak,"Anand, Jolly Mukherjee, Vinod Rathod",DanceRomantic,Raja Babu,9.2/10
Bhangra Bistar,"Alisha Chinoy, Hard Kaur, Sunidhi Chauhan",Dance,Dil Bole Hadippa!,9.2/10
Baawre,"Loy Mendonsa, Shankar Mahadevan",Dance,Luck By Chance,9.5/10
Chhalka Chhalka Re,"Mahalaxmi, Richa Sharma, Shoma, Vaishali",Dance,Saathiya,9.1/10
Kya Mujhe Pyar Hai,K.K.,Romantic,Woh Lamhe,9.6/10
Mere Khwabon Mein Tu,"Alka Yagnik, Kumar Sanu",Romantic,Gupt,9.0/10
Lets Rock Soniye,"Shaan, Tulsi Kumar",Dance,Bhool Bhulaiyaa,9.4/10
Khaana Khaake,"Amit, Amitabh Bhattacharya, Antara, Aroh, Ashwin, Geet Sagar, June, Pritam, Sunny, Tushar",Dance,Jagga Jasoos,8.5/10
Tumse Jo Dekhte Hi Pyar Hua,"Lata Mangeshkar, S.P. Balasubrahmanyam",Dance,Patthar Ke Phool,9.0/10
Roja Jaaneman,Hariharan,Romantic,Roja,9.5/10
Meri Wafayen Yaad Karoge,"Asha Bhosle, Kumar Sanu",Sad,Sainik,8.8/10
Phool Maangu Na Bahaar Maangu,"Alka Yagnik, Udit Narayan",Dance,Raja,8.6/10
Jaaneman Jaane Jaan,"Alka Yagnik, Sonu Nigam",Dance,Kya Kehna,8.8/10
Dil Samander,"K.K., Sunidhi Chauhan",Dance,Garam Masala,9.2/10
Seena Pada,"Shreya Ghoshal, Udit Narayan",Sad,Saaya,9.1/10
Bahut Pyar Karte Hai (Male Version),S.P. Balasubrahmanyam,Dance,Saajan,9.2/10
Baari Barsi,"Harshdeep Kaur, Salim Merchant",Dance,Band Baaja Baaraat,9.1/10
Jahan Mil Jayen Chaar Yaar,"Amitabh Bachchan, Kishore Kumar",Dance,Sharaabi,8.9/10
Saajan Aayo Re,"A.R. Rahman, Jonita Gandhi, Nakash Aziz",Romantic,Ok Jaanu,9.6/10
Fukraa,"Hard Kaur, Jazzy B",Dance,Rush,9.3/10
Kehdoon Tumhen,"Asha Bhosle, Kishore Kumar",Romantic,Deewaar,9.3/10
Is Pal,"Shreya Ghoshal, Sonu Nigam",Romantic,Aaja Nachle,9.6/10
Senorita (Remix),"Abhay Deol, Farhan Akhtar, Hrithik Roshan",Dance,Zindagi Na Milegi Dobara,9.4/10
Aa Zara,Sunidhi Chauhan,Romantic,Murder 2,9.5/10
Naina Lad Jaihen,Mohammed Rafi,Dance,Gunga Jumna,8.7/10
Dil Kya Kare,Adnan Sami,Romantic,Salaam-E-Ishq,9.5/10
Chupke Se,"Murtuza, Qadir, Sadhana Sargam",Romantic,Saathiya,9.6/10
Dard Ka Pata,"Mohammed Irfan, Sam",Sad,Gandhigiri,9.4/10
Aaj Na Chhodenge,"Kishore Kumar, Lata Mangeshkar",Dance,Kati Patang,8.2/10
Mere Sang,Sunidhi Chauhan,Romantic,New York,9.5/10
Jab Se Hum Tere,"Alka Yagnik, Kumar Sanu",Dance,Krantiveer,8.5/10
Allah Hi Reham,Ustad Rashid Khan,Romantic,My Name is Khan,9.6/10
Ajnabi Shehar,Sonu Nigam,Romantic,Jaan-E-Mann,9.5/10
Auva Auva Koi Yahan Nache,Bappi Lahiri,Dance,Disco Dancer,9.1/10
Roy Mashup,Multiple,Dance,Roy,8.9/10
Mujse Shaadi Karogi,"Alka Yagnik, Kumar Sanu, Shankar Mahadevan, Suresh Wadkar",Romantic,Dulhan Hum Le Jayenge,8.8/10
Mohe Panghat Pe,Lata Mangeshkar,Devotional,Mughal-E-Azam,9.1/10
Tauba Main Vyaah Karke Pachtaya,"Poorvi Koutish, Shahid Malya",Dance,Shaadi Ke Side Effects,9.1/10
Chura Lo Dil Mera,"Kumar Sanu, Sanjivani",Romantic,Kareeb,9.3/10
Tere Bina Tere Bina,"Alka Yagnik, Shaan",Dance,Khushi,9.4/10
Pyaar Tune Kya Kiya,"Alka Yagnik, Sonu Nigam",Dance,Pyaar Tune Kya Kiya,9.3/10
Der Na Ho Jaye Kahin,"Lata Mangeshkar, Mohammad Sayeed, Suresh Wadkar",Dance,Henna,7.9/10
Mujhko Neend Aa Rahi Hai,"Sonu Nigam, Sunidhi Chauhan",Romantic,Ajnabee,7.0/10
Samajh Kar Chand Jis Ko,"Alka Yagnik, Vinod Rathod",Romantic,Baazigar,8.6/10
Labon Ko,K.K.,Romantic,Bhool Bhulaiyaa,9.5/10
Rehna Tu,"A.R. Rahman, Benny Dayal, Tanvi",Romantic,Delhi-6,9.6/10
Hass Nache Le,Shahid Mallya,Dance,Udta Punjab,9.6/10
